index,Category,Organization,Filed,Sub-Docket,Accession,Description,Accession_Num
146,Filed By,California Independent System Operator Corporation,10/12/2021,0,20211012-5583 Go to Doc InfoGo to File List,Comments of the California Independent System Operator Corporation under RM21-17,20211012-5583
147,Filed By,CONNECTICUT ATTORNEY GENERAL WILLIAM TONG Connecticut Department of Energy and Environmental Protectio,10/12/2021,0,20211012-5584 Go to Doc InfoGo to File List,Comments of the State Agencies under RM21-17.,20211012-5584
148,Filed By,"DTE Electric Company Alliant Energy Corporate Services, Inc. Consumers Energy Company ,",10/12/2021,0,20211012-5585 Go to Doc InfoGo to File List,"Initial Comments of Alliant Energy Corporation Services, Inc., Consumers Energy Company and DTE Electric Company under RM21-17.",20211012-5585
149,Filed By,Massachusetts Attorney General Maura Healey,10/12/2021,0,20211012-5586 Go to Doc InfoGo to File List,Comments of Massachusetts Attorney General Maura Healey under RM21-17.,20211012-5586
150,Filed By,Berkshire Hathaway Energy Company,10/12/2021,0,20211012-5627 Go to Doc InfoGo to File List,Initial Comments of Berkshire Hathaway Energy Company under RM21-17.,20211012-5627
151,Filed By,Ohio Consumers' Counsel,10/12/2021,0,20211012-5632 Go to Doc InfoGo to File List,Comments of Office of the Ohio Consumers' Counsel under RM21-17,20211012-5632
152,Filed By,"Avangrid, Inc.",10/12/2021,0,20211012-5639 Go to Doc InfoGo to File List,"Initial Comments of Avangrid, Inc. under RM21-17.",20211012-5639
153,Filed By,The Freimuth Group,10/12/2021,0,20211012-5640 Go to Doc InfoGo to File List,Comment of SAFE under RM21-17.,20211012-5640
154,Filed By,"Tenaska, Inc.",10/12/2021,0,20211012-5641 Go to Doc InfoGo to File List,"Comments of Tenaska, Inc. on the Advance Notice of Proposed Rulemaking under RM21-17.",20211012-5641
155,Filed By,National Rural Electric Cooperative Association,10/12/2021,0,20211012-5643 Go to Doc InfoGo to File List,Comments of National Rural Electric Cooperative Association under RM21-17.,20211012-5643
156,Filed By,Industrial Customer Organizations,10/12/2021,0,20211012-5653 Go to Doc InfoGo to File List,Joint Comments of the Industrial Customer Organizations under RM21-17.,20211012-5653
159,Filed By,Transmission Access Policy Study Group,10/12/2021,0,20211012-5388 Go to Doc InfoGo to File List,Comments of Transmission Access Policy Study Group under RM21-17.,20211012-5388
160,Filed By,American Public Power Association,10/12/2021,0,20211012-5392 Go to Doc InfoGo to File List,Initial Comments of the American Public Power Association under RM21-17.,20211012-5392
163,Filed By,Indiana Utility Regulatory Commission,10/12/2021,0,20211012-5459 Go to Doc InfoGo to File List,Notice of Intervention and Comments of the Indiana Utility Regulatory Commission under RM21-17.,20211012-5459
164,Filed By,Office of Governor Jay Inslee of Washington State,10/12/2021,0,20211012-5401 Go to Doc InfoGo to File List,Comments of State of Washington Governor Jay Inslee under RM21-17.,20211012-5401
167,Filed By,"PJM Interconnection, L.L.C.",10/12/2021,0,20211012-5490 Go to Doc InfoGo to File List,"Initial Comments of PJM Interconnection, L.L.C. under RM21-17.",20211012-5490
169,Filed By,Arizona Corporation Commission,10/12/2021,0,20211012-5453 Go to Doc InfoGo to File List,Notice of Intervention and Comments of the Arizona Corporation Commission under RM21-17.,20211012-5453
171,Filed By,"Block Island Utility District Braintree Electric Light Department CHICOPEE ELECTRIC LIGHT DEPARTMENT , BELMONT MUNICIPAL LIGHT DEPARTMENT , Georgetown Municipal Light Department , Groveland Electric Light Department , HINGHAM MUNICIPAL LIGHTING PLANT , Littleton Electric Light & Water Department , Middleborough Gas & Electric Department , Middleton Electric Light Department , North Attleborough Electric Department , Norwood Light & Broadband Department , Pascoag Utility District , Reading Municipal Light Department , ROWLEY MUNICIPAL LIGHTING PLANT , Stowe Electric Department , Taunton Municipal Lighting Plant , Wellesley Municipal Light Plant , Westfield Gas & Electric Light Department ,",10/12/2021,0,20211012-5503 Go to Doc InfoGo to File List,"Motion to Intervene and Initial Comments of the New England Consumer-Owned Systems (BELMONT MUNICIPAL LIGHT DEPARTMENT, et. al.) under RM21-17.",20211012-5503
172,Filed By,Transmission Agency of Northern California,10/12/2021,0,20211012-5506 Go to Doc InfoGo to File List,Initial Comments of the Transmission Agency of Northern California under RM21-17.,20211012-5506
173,Filed By,"International Transmission Company, et al.",10/12/2021,0,20211012-5509 Go to Doc InfoGo to File List,"Comments of International Transmission Company, et al. under RM21-17.",20211012-5509
174,Filed By,"NATURAL RESOURCES DEFENSE COUNCIL Sustainable FERC Project Sierra Club , Western Resource Advocates , Conservation Law Foundation , 350 New Orleans , Southface Institute , Acadia Center , SOUTHERN ENVIRONMENTAL LAW CENTER , Northwest Energy Coalition , Fresh Energy ,",10/12/2021,0,20211012-5519 Go to Doc InfoGo to File List,"Comments of Sustainable FERC Project, et. al. under RM21-17.",20211012-5519
175,Filed By,Louisiana Public Service Commission,10/12/2021,0,20211012-5523 Go to Doc InfoGo to File List,Comments of the Louisiana Public Service Commission under RM21-17.,20211012-5523
176,Filed By,EDP Renewables North America LLC,10/12/2021,0,20211012-5408 Go to Doc InfoGo to File List,Comments of EDP Renewables North America LLC under RM21-17.,20211012-5408
177,Filed By,North Dakota Public Service Commission,10/12/2021,0,20211012-5409 Go to Doc InfoGo to File List,Comments of North Dakota Public Service Commission under RM21-17.,20211012-5409
178,Filed By,Orsted North America Inc.,10/12/2021,0,20211012-5675 Go to Doc InfoGo to File List,Comments of Orsted Offshore North America Inc. under RM21-17.,20211012-5675
179,Filed By,"Entergy Services, LLC Entergy Arkansas, LLC Entergy Louisiana, LLC , Entergy Mississippi, LLC , Entergy New Orleans, LLC , Entergy Texas, Inc. ,",10/12/2021,0,20211012-5718 Go to Doc InfoGo to File List,Motion to Intervene and Initial Comments of the Entergy Operating Companies under RM21-17.,20211012-5718
180,Filed By,New Jersey Board of Public Utilities,10/12/2021,0,20211012-5721 Go to Doc InfoGo to File List,Comments of New Jersey Board of Public Utilities under RM21-17.,20211012-5721
181,Filed By,RMI,10/12/2021,0,20211012-5722 Go to Doc InfoGo to File List,Comments of Rocky Mountain Institute under RM21-17.,20211012-5722
182,Filed By,National Association of State Utility Consumer Advocates,10/12/2021,0,20211012-5726 Go to Doc InfoGo to File List,Comments of National Association of State Utility Consumer Advocates under RM21-17.,20211012-5726
183,Filed By,Individual No Affiliation,10/12/2021,0,20211012-5112 Go to Doc InfoGo to File List,Comments of Ronald P Belval under RM21-17.,20211012-5112
185,Filed By,Electric Power Supply Association,10/12/2021,0,20211012-5406 Go to Doc InfoGo to File List,Comments of the Electric Power Supply Association under RM21-17.,20211012-5406
186,Filed By,Consumer Organizations,10/12/2021,0,20211012-5255 Go to Doc InfoGo to File List,Comments of Consumer Organizations under RM21-17.,20211012-5255
191,Filed By,"East Kentucky Power Cooperative, Inc.",10/12/2021,0,20211012-5380 Go to Doc InfoGo to File List,"Comments of East Kentucky Power Cooperative, Inc. under RM21-17.",20211012-5380
194,Filed By,El Paso Electric Company (EPE),10/12/2021,0,20211012-5383 Go to Doc InfoGo to File List,Initial Comments of El Paso Electric Company under RM21-17.,20211012-5383
195,Filed By,Rail Electrification Council,10/12/2021,0,20211012-5384 Go to Doc InfoGo to File List,Comments of the Rail Electrification Council under RM21-17.,20211012-5384
196,Filed By,Six Cities CA,10/12/2021,0,20211012-5386 Go to Doc InfoGo to File List,"Comments of the Cities of Anaheim, Azusa, Banning, Colton, Pasadena, and Riverside, California under RM21-17.",20211012-5386
197,Filed By,Office of the People's Counsel for the District of Columbia,10/12/2021,0,20211012-5553 Go to Doc InfoGo to File List,Comments of the Office of the People's Counsel for the District of Columbia on the Advanced Notice of Proposed Rulemaking under RM21-17.,20211012-5553
198,Filed By,Iowa Office of Consumer Advocate,10/12/2021,0,20211012-5548 Go to Doc InfoGo to File List,Motion to Intervene and Comments of the Iowa Office of Consumer Advocate under RM21-17.,20211012-5548
199,Filed By,"Public Systems Massachusetts Municipal Wholesale Electric Company New Hampshire Electric Cooperative, Inc. , Connecticut Municipal Electric Energy Cooperative , Vermont Public Power Supply Authority ,",10/12/2021,0,20211012-5687 Go to Doc InfoGo to File List,"Initial Comments of Massachusetts Municipal Wholesale Electric Company, et. al. under RM21-17.",20211012-5687
200,Filed By,"NextEra Energy, Inc.",10/12/2021,0,20211012-5690 Go to Doc InfoGo to File List,"Comments of NextEra Energy, Inc. under RM21-17.",20211012-5690
201,Filed By,Niskanen Center,10/12/2021,0,20211012-5691 Go to Doc InfoGo to File List,Comments of Niskanen Center under RM21-17.,20211012-5691
202,Filed By,"Anbaric Development Partners, LLC",10/12/2021,0,20211012-5692 Go to Doc InfoGo to File List,"Comments of Anbaric Development Partners, LLC under RM21-17.",20211012-5692
203,Filed By,Maryland Energy Administration,10/12/2021,0,20211012-5533 Go to Doc InfoGo to File List,Comments of Maryland Energy Administration under RM21-17.,20211012-5533
204,Filed By,NewSun Energy,10/12/2021,0,20211012-5535 Go to Doc InfoGo to File List,Motion to Intervene and Comments of NewSun Energy under RM21-17.,20211012-5535
205,Filed By,Oklahoma Gas and Electric Company,10/12/2021,0,20211012-5538 Go to Doc InfoGo to File List,Comments of Oklahoma Gas and Electric Company under RM21-17.,20211012-5538
206,Filed By,Advanced Energy Economy,10/12/2021,0,20211012-5539 Go to Doc InfoGo to File List,Comments of Advanced Energy Economy under RM21-17.,20211012-5539
207,Filed By,PPL Electric Utilities Corporation,10/12/2021,0,20211012-5541 Go to Doc InfoGo to File List,Comments of PPL Electric Utilities Corporation under RM21-17.,20211012-5541
208,Filed By,"PUBLIC CITIZEN, INC",10/12/2021,0,20211012-5542 Go to Doc InfoGo to File List,"Comment of Public Citizen, Inc. under RM21-17.",20211012-5542
209,Filed By,Indicated PJM Transmission Owners,10/12/2021,0,20211012-5612 Go to Doc InfoGo to File List,Comments of Indicated PJM Transmission Owners under RM21-17.,20211012-5612
210,Filed By,Exelon Corporation,10/12/2021,0,20211012-5622 Go to Doc InfoGo to File List,Comments of Exelon Corporation under RM21-17.,20211012-5622
211,Filed By,Resale Power Group of Iowa,10/12/2021,0,20211012-5624 Go to Doc InfoGo to File List,Comments of Resale Power Group of Iowa under RM21-17.,20211012-5624
212,Filed By,"Shell Energy North America (U.S.), LP",10/12/2021,0,20211012-5635 Go to Doc InfoGo to File List,"Comment of Shell Energy North America (U.S.), LP and Shell Renewables and Energy Solutions under RM21-17.",20211012-5635
213,Filed By,Southern California Edison Company,10/12/2021,0,20211012-5638 Go to Doc InfoGo to File List,Comments of Southern California Edison Company under RM21-17.,20211012-5638
214,Filed By,"Competitive Power Ventures, Inc.",10/12/2021,0,20211012-5689 Go to Doc InfoGo to File List,"Comment of Competitive Power Ventures, Inc. under RM21-17.",20211012-5689
215,Filed By,"Organization of MISO States, Inc.",10/12/2021,0,20211012-5693 Go to Doc InfoGo to File List,"Initial Comments of the Organization of MISO States, Inc. under RM21-17.",20211012-5693
216,Filed By,CHAMBER OF COMMERCE OF THE UNITED STATES,10/12/2021,0,20211012-5695 Go to Doc InfoGo to File List,"U.S. Chamber of Commerce Comments on Regional Transmission Planning and Cost Allocation and Generator Interconnection, Docket No. RM21-17.",20211012-5695
217,Filed By,"LS Power Grid, LLC",10/12/2021,0,20211012-5696 Go to Doc InfoGo to File List,"Comments of LS Power Grid, LLC under RM21-17.",20211012-5696
218,Filed By,California Public Utilities Commission,10/12/2021,0,20211012-5697 Go to Doc InfoGo to File List,Initial Comments of California Public Utilities Commission under RM21-17.,20211012-5697
219,Filed By,CTC Global Corporation,10/12/2021,0,20211012-5701 Go to Doc InfoGo to File List,Comments of CTC Global Corporation under RM21-17.,20211012-5701
