Category,Organization,Filed,Sub-Docket,Accession,Description
Issued By,CHAIR AND IMMEDIATE STAFF (CHAIR),09/10/2010,0,20100910-0063 Go to Doc InfoGo to File List,Letter to Governor of Maine John E Baldacci re the letter submitted 6/8/10 for proposed rulemakings under RM10-23.
Issued By,CHAIR AND IMMEDIATE STAFF (CHAIR),09/10/2010,0,20100910-0067 Go to Doc InfoGo to File List,Chairman Jon Wellinghoff's response to State of California's 5/21/10 letter requesting FERC to help ensure that new transmission facilities are developed to deliver renewable energy resources to meet California's and the nations needs under RM10-23.
Filed By,Florida Public Service Commission,09/24/2010,0,20100924-5092 Go to Doc InfoGo to File List,Comment of Florida Public Service Commission under RM10-23.
Filed By,New England Power Pool Participants Committee,09/24/2010,0,20100924-5053 Go to Doc InfoGo to File List,Comments of New England Power Pool Participants Committee under RM10-23.
Filed By,Public Utilities Commission of Nevada,09/24/2010,0,20100924-5005 Go to Doc InfoGo to File List,Comments of the Public Utilities Commission of Nevada under RM10-23.
Filed By,"GridSolar, LLC",09/27/2010,0,20100927-5138 Go to Doc InfoGo to File List,"Comment of GridSolar, LLC under RM10-23."
Filed By,Gaelectric LLC,09/27/2010,0,20100927-5234 Go to Doc InfoGo to File List,Comments of Gaelectric LLC under RM10-23.
Filed By,Oklahoma Corporation Commission,09/27/2010,0,20100927-5252 Go to Doc InfoGo to File List,Motion to Intervene of Oklahoma Corporation Commission under RM10-23.
Filed By,Western Grid Group,09/27/2010,0,20100927-5151 Go to Doc InfoGo to File List,"Comments of Western Grid Group on Notice of Proposed Rulemaking, ""Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities"" in Docket RM10-23."
Filed By,Sonoran Institute,09/27/2010,0,20100927-5023 Go to Doc InfoGo to File List,Comment of Sonoran Institute under RM10-23.
Filed By,Coalition for Fair Transmission Policy,09/28/2010,0,20100928-5246 Go to Doc InfoGo to File List,Comment of Coalition for Fair Transmission Policy under RM10-23.
Filed By,Minnesota Office of Energy Security MINNESOTA PUBLIC UTILITIES COMMISSION,09/28/2010,0,20100928-5369 Go to Doc InfoGo to File List,Comments of MINNESOTA PUBLIC UTILITIES COMMISSION and MINNESOTA OFFICE OF ENERGY SECURITY regarding Transmission Planning and Cost Allocations under Docket No. RM10-23-000.
Filed By,Western Independent Transmission Group,09/28/2010,0,20100928-5465 Go to Doc InfoGo to File List,Motion for Leave to File Reply Comments of the Western Independent Transmission Group under RM10-23.
Filed By,"New York Independent System Operator, Inc.",09/28/2010,0,20100928-5406 Go to Doc InfoGo to File List,"Comments of New York Independent System Operator, Inc. under RM10-23-000."
Filed By,ISO/RTO COUNCIL (ISO/REGIONAL TRANS ORG COUNCIL),09/28/2010,0,20100928-5200 Go to Doc InfoGo to File List,Comments of the ISO/RTO COUNCIL under RM10-23.
Filed By,NATURAL RESOURCES DEFENSE COUNCIL,09/28/2010,0,20100928-5203 Go to Doc InfoGo to File List,Comment of NATURAL RESOURCES DEFENSE COUNCIL under RM10-23.
Filed By,California Transmission Planning Group,09/29/2010,0,20100929-5145 Go to Doc InfoGo to File List,Comments of the California Transmission Planning Group under RM10-23.
Filed By,American Forest & Paper Association,09/29/2010,0,20100929-5139 Go to Doc InfoGo to File List,Comment of American Forest & Paper Association under RM10-23.
Filed By,Baltimore Gas and Electric Company,09/29/2010,0,20100929-5134 Go to Doc InfoGo to File List,Comment of Baltimore Gas and Electric Company under RM10-23.
Filed By,"Westar Energy, Inc. Kansas Gas and Electric Company",09/29/2010,0,20100929-5135 Go to Doc InfoGo to File List,"Comment of Westar Energy, Inc., et. al. under RM10-23 (Document header refers to incorrect docket)."
Filed By,New England States' Committee on Electricity,09/29/2010,0,20100929-5144 Go to Doc InfoGo to File List,Comment of New England States Committee on Electricity under RM10-23.
Filed By,Duke Energy Corporation,09/29/2010,0,20100929-5060 Go to Doc InfoGo to File List,Comment of Duke Energy Corporation under RM10-23.
Filed By,NORTH CAROLINA UTILITIES COMMISSION Public Staff -- NC Utilities Commission,09/29/2010,0,20100929-5495 Go to Doc InfoGo to File List,"Motion to Intervene of North Carolina Agencies under RM10-23, Notice of Proposed Rulemaking relative to transmission planning and cost allocation."
Filed By,"Southern Company Services, Inc.",09/29/2010,0,20100929-5413 Go to Doc InfoGo to File List,"Comments of Southern Company Services, Inc. under RM10-23-000."
Filed By,"DC Energy, LLC",09/29/2010,0,20100929-5418 Go to Doc InfoGo to File List,"Comments of DC Energy, LLC under RM10-23-000."
Filed By,Delaware Public Service Commission,09/29/2010,0,20100929-5156 Go to Doc InfoGo to File List,Comment of Delaware Public Service Commission under RM10-23.
Filed By,Virginia State Corporation Commission,09/29/2010,0,20100929-5149 Go to Doc InfoGo to File List,(doc-less) Notice of Intervention of Virginia State Corporation Commission under RM10-23.
Filed By,AMERICAN ANTITRUST INSTITUTE,09/29/2010,0,20100929-5160 Go to Doc InfoGo to File List,Comment of AMERICAN ANTITRUST INSTITUTE under RM10-23.
Filed By,New Jersey Division of Rate Counsel,09/29/2010,0,20100929-5393 Go to Doc InfoGo to File List,Comment of New Jersey Division of Rate Counsel under RM10-23.
Filed By,Public Utilities Commission of Ohio,09/29/2010,0,20100929-5047 Go to Doc InfoGo to File List,Comments submitted on behalf of the Public Utilities Commission of Ohio under RM10-23.
Filed By,G&T Cooperatives,09/29/2010,0,20100929-5163 Go to Doc InfoGo to File List,"Comments of Associated Electric Cooperative, Basin Electric Power Cooperative, and Tri-State Generation and Transmission Association under RM10-23."
Filed By,Virginia State Corporation Commission,09/29/2010,0,20100929-5164 Go to Doc InfoGo to File List,Comments of the Virginia State Corporation Commission under RM10-23.
Filed By,Modesto Irrigation District,09/29/2010,0,20100929-5226 Go to Doc InfoGo to File List,Comments of the Modesto Irrigation District under RM10-23.
Filed By,NRG Companies,09/29/2010,0,20100929-5227 Go to Doc InfoGo to File List,Comment of NRG Companies under RM10-23.
Filed By,American Public Power Association,09/29/2010,0,20100929-5172 Go to Doc InfoGo to File List,Comments of the American Public Power Association regarding FERC's proposal to amend the transmission planning and cost allocation requirements established in Order No. 890 under RM10-23.
Filed By,Clean Energy Group,09/29/2010,0,20100929-5174 Go to Doc InfoGo to File List,Comment of Clean Energy Group under RM10-23.
Filed By,Horizon Wind Energy LLC,09/29/2010,0,20100929-5177 Go to Doc InfoGo to File List,Motion to Intervene and Comments of Horizon Wind Energy LLC under RM10-23.
Filed By,The Brattle Group,09/29/2010,0,20100929-5180 Go to Doc InfoGo to File List,Comments of The Brattle Group under RM10-23.
Filed By,Western Independent Transmission Group,09/29/2010,0,20100929-5181 Go to Doc InfoGo to File List,Comments of the Western Independent Transmission Group under RM10-23.
Filed By,Georgia Transmission Corporation,09/29/2010,0,20100929-5238 Go to Doc InfoGo to File List,Comments of Georgia Transmission Corporation on the Transmission Planning and Cost Allocation NOPR under RM10-23.
Filed By,Sacramento Municipal Utility District,09/29/2010,0,20100929-5239 Go to Doc InfoGo to File List,Comment of Sacramento Municipal Utility District under RM10-23.
Filed By,"Nevada Hydro Company, Inc.",09/29/2010,0,20100929-5242 Go to Doc InfoGo to File List,"Comment of Nevada Hydro Company, Inc. under RM10-23."
Filed By,Kansas Corporation Commission,09/29/2010,0,20100929-5243 Go to Doc InfoGo to File List,Comments Of The Kansas Corporation Commission Under under RM10-23.
Filed By,MIDAMERICAN ENERGY HOLDINGS COMPANY,09/29/2010,0,20100929-5244 Go to Doc InfoGo to File List,Comments of MIDAMERICAN ENERGY HOLDINGS COMPANY under RM10-23.
Filed By,"GRIDSOLAR, LLC",09/29/2010,0,20100930-0002 Go to Doc InfoGo to File List,"Comments of Gridsolar, LLC re the NOPR regarding transmission planning and cost allocation udner RM10-23."
Filed By,"Green Energy Express LLC 21st Century Transmission Holdings, LLC",09/29/2010,0,20100929-5385 Go to Doc InfoGo to File List,"COMMENTS OF GREEN ENERGY EXPRESS LLC AND 21st CENTURY TRANSMISSION HOLDINGS, LLC on Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23."
Filed By,ISO New England Inc.,09/29/2010,0,20100929-5386 Go to Doc InfoGo to File List,Comment of ISO New England Inc. under RM10-23.
Filed By,"Novus Windpower, LLC",09/29/2010,0,20100929-5377 Go to Doc InfoGo to File List,"Motion to Intervene of Novus Windpower, LLC re Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23."
Filed By,National Grid USA,09/29/2010,0,20100929-5381 Go to Doc InfoGo to File List,Comments of National Grid USA on Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23.
Filed By,EON US LLC,09/29/2010,0,20100929-5391 Go to Doc InfoGo to File List,Comment of EON US LLC under RM10-23.
Filed By,NSTAR Electric Company,09/29/2010,0,20100929-5397 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of NSTAR Electric Company under RM10-23.
Filed By,"Alliant Energy Corporate Services, Inc.",09/29/2010,0,20100929-5398 Go to Doc InfoGo to File List,"Comments of Alliant Energy Corporate Services, Inc. under RM10-23."
Filed By,New Jersey Board of Public Utilities,09/29/2010,0,20100929-5399 Go to Doc InfoGo to File List,Comment of New Jersey Board of Public Utilities under RM10-23.
Filed By,Large Public Power Council,09/29/2010,0,20100929-5184 Go to Doc InfoGo to File List,Comment of The Large Public Power Council under RM10-23.
Filed By,National Association of Regulatory Utility Commissioners,09/29/2010,0,20100929-5195 Go to Doc InfoGo to File List,Comment of National Association of Regulatory Utility Commissioners under RM10-23.
Filed By,Tucson Electric Power Company,09/29/2010,0,20100929-5197 Go to Doc InfoGo to File List,Comment of Tucson Electric Power Company under RM10-23.
Filed By,Northwest & Intermountain Power Producers Coalition,09/29/2010,0,20100929-5199 Go to Doc InfoGo to File List,Comment of Northwest & Intermountain Power Producers Coalition under RM10-23.
Filed By,Northwestern Corporation (Montana),09/29/2010,0,20100929-5200 Go to Doc InfoGo to File List,Comments of Northwestern Corporation (Montana) under RM10-23.
Filed By,"Massachusetts Municipal Wholesale Electric Company New Hampshire Electric Cooperative, Inc.",09/29/2010,0,20100929-5208 Go to Doc InfoGo to File List,"Comments of Massachusetts Municipal Wholesale Electric Company and New Hampshire Electric Cooperative, Inc. under RM10-23."
Filed By,"Primary Power, LLC",09/29/2010,0,20100929-5246 Go to Doc InfoGo to File List,"Comments of Primary Power, LLC in Docket No. RM10-23."
Filed By,Northeast Utilities Service Company,09/29/2010,0,20100929-5247 Go to Doc InfoGo to File List,Comments of Northeast Utilities Service Company under RM10-23.
Filed By,Bangor Hydro Electric Company,09/29/2010,0,20100929-5248 Go to Doc InfoGo to File List,Bangor Hydro Electric Company NOPR Comments under RM10-23.
Filed By,Indianapolis Power & Light Co,09/29/2010,0,20100929-5249 Go to Doc InfoGo to File List,Comments of Indianapolis Power & Light Co under RM10-23.
Filed By,New England Transmission Owners,09/29/2010,0,20100929-5250 Go to Doc InfoGo to File List,Comment of the New England Transmission Owners under RM10-23.
Filed By,"E.ON Climate & Renewables North America, LLC",09/29/2010,0,20100929-5253 Go to Doc InfoGo to File List,"Initial Comments of E.ON Climate & Renewables North America, LLC under RM10-23."
Filed By,"Sunflower Electric Power Corporation Mid-Kansas Electric Company, LLC",09/29/2010,0,20100929-5254 Go to Doc InfoGo to File List,"Comments of Sunflower Electric Power Corporation and Mid-Kansas Electric Company, LLC, under RM10-23."
Filed By,Citizens Against Rate Excess,09/29/2010,0,20100929-5255 Go to Doc InfoGo to File List,Comment of Citizens Against Rate Excess under RM10-23.
Filed By,Western Electricity Coordinating Council,09/29/2010,0,20100929-5264 Go to Doc InfoGo to File List,Comment of Western Electricity Coordinating Council under RM10-23.
Filed By,"Dominion Resources Services, Inc.",09/29/2010,0,20100929-5266 Go to Doc InfoGo to File List,"Comment of Dominion Resources Services, Inc. NOPR under RM10-23."
Filed By,SOUTHWEST AREA TRANSMISSION SUB-REGIONAL PLANNING GROUP,09/29/2010,0,20100929-5268 Go to Doc InfoGo to File List,Comment of SOUTHWEST AREA TRANSMISSION SUB-REGIONAL PLANNING GROUP under RM10-23.
Filed By,Independent Energy Producers Association,09/29/2010,0,20100929-5267 Go to Doc InfoGo to File List,Comments of the Independent Energy Producers Association on Notice of Proposed Rulemaking under RM10-23.
Filed By,"Anbaric Holding, LLC PowerBridge, LLC",09/29/2010,0,20100929-5279 Go to Doc InfoGo to File List,"Comments of Anbaric Holding, LLC and PowerBridge, LLC under RM10-23."
Issued By,"SECRETARY OF THE COMMISSION, FERC",09/29/2010,0,20100929-3053 Go to Doc InfoGo to File List,Notice of Proposed Rulemaking; notice providing for reply comments for Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23.
Filed By,Organization of MISO States,09/29/2010,0,20100929-5291 Go to Doc InfoGo to File List,Comments of the Organization of MISO States concerning Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23.
Filed By,San Diego Gas & Electric Company,09/29/2010,0,20100929-5293 Go to Doc InfoGo to File List,Comments of San Diego Gas & Electric Company in Response to Notice of Proposed Rulemaking on Transmission Planning and Cost Allocation under RM10-23.
Filed By,"City of Santa Clara, California",09/29/2010,0,20100929-5286 Go to Doc InfoGo to File List,"Comments of the City of Santa Clara, California in RM10-23."
Filed By,"Vermont Electric Power Company, Inc.",09/29/2010,0,20100929-5289 Go to Doc InfoGo to File List,"Comment of Vermont Electric Power Company, Inc. under RM10-23."
Filed By,Grasslands Renewable Energy LLC,09/29/2010,0,20100929-5290 Go to Doc InfoGo to File List,Comments of Grasslands Renewable Energy LLC concerning Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23.
Filed By,"Iberdrola Renewables, Inc.",09/29/2010,0,20100929-5287 Go to Doc InfoGo to File List,"Comments of Iberdrola Renewables, Inc. re Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23."
Filed By,Long Island Power Authority,09/29/2010,0,20100929-5294 Go to Doc InfoGo to File List,Comment of Long Island Power Authority concerning Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23.
Filed By,"Transmission Agency of Northern California Sacramento Municipal Utility District American Public Power Association , California Public Utilities Commission , Indiana Utility Regulatory Commission , New York State Public Service Commission , American Forest & Paper Association , National Association of State Utility Consumer Advocates , MODESTO IRRIGATION DISTRICT (CA) , Joint Commenters (RM10-23) , Utility Reform Network, The , NEVADA BUREAU OF CONSUMER PROTECTION , Vermont Public Service Board , Montana Public Service Commission , State of Maine Public Advocate's Office , New Hampshire Office of Consumer Advocate , South Dakota Public Utilities Commission , Electricity Consumers Resource Council , New Jersey Division of Rate Counsel , American Chemistry Council , New England Conference of Public Utilities Commissioners , California Municipal Utilities Association , Vermont Department of Public Service ,",09/29/2010,0,20100929-5305 Go to Doc InfoGo to File List,Joint Comments on Transmission Rate Incentive and Cost Allocation Issues under RM10-23.
Filed By,"EIF Management, LLC",09/29/2010,0,20100929-5310 Go to Doc InfoGo to File List,"Comments of EIF Management, LLC under RM10-23."
Filed By,Imperial Irrigation District,09/29/2010,0,20100929-5309 Go to Doc InfoGo to File List,Motion to Intervene and Comments of Imperial Irrigation District under RM10-23.
Filed By,"Champlain Hudson Power Express, Inc.",09/29/2010,0,20100929-5314 Go to Doc InfoGo to File List,"Comments of Champlain Hudson Power Express, Inc. on FERC's Notice of Proposed Rulemaking on Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities."
Filed By,WestConnect Parties,09/29/2010,0,20100929-5318 Go to Doc InfoGo to File List,Comments of WestConnect Parties under RM10-23.
Filed By,Alabama Public Service Commission,09/29/2010,0,20100929-5317 Go to Doc InfoGo to File List,Comments of the Alabama Public Service Commission on Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23.
Filed By,"Southwest Power Pool, Inc.",09/29/2010,0,20100929-5322 Go to Doc InfoGo to File List,"Comments of Southwest Power Pool, Inc. in Docket No. RM10-23."
Filed By,Bay Area Municipal Transmission Group,09/29/2010,0,20100929-5319 Go to Doc InfoGo to File List,Comments of the Bay Area Municipal Transmission Group in RM10-23.
Filed By,Conservation Law Foundation,09/29/2010,0,20100929-5323 Go to Doc InfoGo to File List,Comment of Conservation Law Foundation on Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilitiesunder RM10-23.
Filed By,Northern California Power Agency,09/29/2010,0,20100929-5332 Go to Doc InfoGo to File List,Comments of Northern California Power Agency under RM10-23.
Filed By,CapX2020,09/29/2010,0,20100929-5334 Go to Doc InfoGo to File List,Comments of the CapX2020 Utilities under RM10-23.
Filed By,PHI COMPANIES,09/29/2010,0,20100929-5336 Go to Doc InfoGo to File List,"Comment of Pepco Holdings, Inc., Potomac Electric Power Company, Delmarva Power & Light Company and Atlantic City Electric Company under RM10-23."
Filed By,Xcel Energy Services Inc.,09/29/2010,0,20100929-5337 Go to Doc InfoGo to File List,COMMENTS OF XCEL ENERGY SERVICES INC. in RM10-23.
Filed By,"Midwest Independent System Transmission Operator, Inc.",09/29/2010,0,20100929-5338 Go to Doc InfoGo to File List,"Comment of Midwest Independent System Transmission Operator, Inc. under RM10-23."
Filed By,Allegheny Energy Companies,09/29/2010,0,20100929-5340 Go to Doc InfoGo to File List,Comment of Allegheny Energy Companies onTransmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23.
Filed By,SRP,09/29/2010,0,20100929-5341 Go to Doc InfoGo to File List,Comment of SRP under RM10-23.
Filed By,Old Dominion Electric Cooperative,09/29/2010,0,20100929-5346 Go to Doc InfoGo to File List,Comments of Old Dominion Electric Cooperative under RM10-23.
Filed By,Southern California Edison Company,09/29/2010,0,20100929-5347 Go to Doc InfoGo to File List,Comments of Southern California Edison Company Concerning The NOPR under RM10-23.
Filed By,Invenergy Wind Development LLC,09/29/2010,0,20100929-5348 Go to Doc InfoGo to File List,Comment of Invenergy Wind Development LLC under RM10-23.
Filed By,Nebraska Public Power District,09/29/2010,0,20100929-5351 Go to Doc InfoGo to File List,Comments of the Nebraska Public Power District in RM10-23.
Filed By,Maine Public Utilities Commission NEW HAMPSHIRE PUBLIC UTILITIES COMM.,09/29/2010,0,20100929-5354 Go to Doc InfoGo to File List,"Comments of the Maine Public Utilities Commission, Maine Office of the Public Advocate, Maine Office of Energy Independence and Security, New Hampshire Public Utilities Commission, Environment Northeast, and Conservation Law Foundation in RM10-23."
Filed By,Electricity Consumers Resource Council,09/29/2010,0,20100929-5356 Go to Doc InfoGo to File List,Comments of Electricity Consumers Resource Council (ELCON) and the Associated Industrial Groups under RM10-23.
Filed By,"LS Power Transmission, LLC",09/29/2010,0,20100929-5352 Go to Doc InfoGo to File List,"Comments of LS Power Transmission, LLC in Support of the Commission's Notice of Proposed Rulemaking under RM10-23."
Filed By,ITC Holdings Corp.,09/29/2010,0,20100929-5355 Go to Doc InfoGo to File List,"Joint Comments of American Electric Power Corp., AWEA, Energy Future Coalition, Iberdrola Renewables, ITC Holdings Corp., LS Power Transmission LLC, Mesa Power Group, LLC, NextEra Energy, Inc., and SEIA in RM10-23"
Filed By,"Pioneer Transmission, LLC",09/29/2010,0,20100929-5361 Go to Doc InfoGo to File List,"Initial Comments of Pioneer Transmission, LLC under RM10-23."
Filed By,"Dayton Power and Light Company, The",09/29/2010,0,20100929-5362 Go to Doc InfoGo to File List,Initial Comments of The Dayton Power and Light Company under RM10-23.
Filed By,Transmission Agency of Northern California,09/29/2010,0,20100929-5366 Go to Doc InfoGo to File List,Comments of the Transmission Agency of Northern California in RM10-23.
Filed By,Duquesne Light Company,09/29/2010,0,20100929-5375 Go to Doc InfoGo to File List,Comments of Duquesne Light Company on Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23.
Filed By,"Consolidated Edison Company of New York, Inc. and Orange and",09/29/2010,0,20100929-5374 Go to Doc InfoGo to File List,"Comments of Consolidated Edison Company of New York, Inc. and Orange and Rockland Utilities, Inc. re Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23."
Filed By,City of Los Angeles Department of Water and Power,09/29/2010,0,20100929-5376 Go to Doc InfoGo to File List,Comments of City of Los Angeles Department of Water and Power on Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23.
Filed By,Clean Line Energy Partners LLC,09/29/2010,0,20100929-5378 Go to Doc InfoGo to File List,Comments of Clean Line Energy Partners LLC on Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23.
Filed By,Massachusetts Department of Public Utilities Massachusetts Department of Energy Resources,09/29/2010,0,20100929-5421 Go to Doc InfoGo to File List,Comments of the Massachusetts Department of Public Utilities and the Massachusetts Department of Energy Resources in RM10-23-000.
Filed By,"NextEra Energy, Inc.",09/29/2010,0,20100929-5412 Go to Doc InfoGo to File List,"Comments of NextEra Energy, Inc. under RM10-23-000."
Filed By,FirstEnergy Service Company,09/29/2010,0,20100929-5414 Go to Doc InfoGo to File List,Comment of FirstEnergy Service Company under RM10-23-000.
Filed By,Connecticut Department of Public Utility Control Rhode Island Public Utilities Commission,09/29/2010,0,20100929-5416 Go to Doc InfoGo to File List,Notice of Intervention and Comments of the Connecticut Department of Public Utility Control and the Rhode Island Public Utilities Commission Regarding Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities
Filed By,"Michigan Electric Transmission Company, LLC International Transmission Company ITC Midwest LLC , ITC Great Plains, LLC , Green Power Express LP ,",09/29/2010,0,20100929-5417 Go to Doc InfoGo to File List,"Comment of International Transmission Company, et. al. under RM10-23-000."
Filed By,National Rural Electric Cooperative Assn.,09/29/2010,0,20100929-5419 Go to Doc InfoGo to File List,Comment of National Rural Electric Cooperative Assn. under RM10-23-000.
Filed By,Indicated PJM Transmission Owners,09/29/2010,0,20100929-5422 Go to Doc InfoGo to File List,Comment of Indicated PJM Transmission Owners under RM10-23-000.
Filed By,Consumers Energy Company,09/29/2010,0,20100929-5423 Go to Doc InfoGo to File List,Comments of Consumers Energy Company under RM10-23-000.
Filed By,Powerex Corp.,09/29/2010,0,20100929-5424 Go to Doc InfoGo to File List,Comments of Powerex Corp. on Notice of Proposed Rulemaking under RM10-23-000.
Filed By,Pacific Gas and Electric Company,09/29/2010,0,20100929-5425 Go to Doc InfoGo to File List,Comment of Pacific Gas and Electric Company under RM10-23-000.
Filed By,Bonneville Power Administration,09/29/2010,0,20100929-5426 Go to Doc InfoGo to File List,Comments of Bonneville Power Administration under RM10-23-000.
Filed By,Large-Scale Solar Association Solar Energy Industries Association,09/29/2010,0,20100929-5429 Go to Doc InfoGo to File List,Comments of the Solar Energy Industries Association and the Large-scale Solar Association under RM10-23-000.
Filed By,"PPL Renewable Energy, LLC PPL Holtwood, LLC PPL New Jersey Biogas, LLC , PPL EnergyPlus, LLC , PPL Montana, LLC , PPL Electric Utilities Corporation , PPL Montour, LLC , PPL Susquehanna, LLC , PPL New Jersey Solar, LLC , PPL Colstrip I, LLC , PPL Colstrip II, LLC , Lower Mount Bethel Energy, LLC , PPL Martins Creek, LLC , PPL University Park, LLC , PPL Brunner Island, LLC ,",09/29/2010,0,20100929-5430 Go to Doc InfoGo to File List,Comments of the PPL Companies under RM10-23-000.
Filed By,Washington Utilities and Transportation Commission,09/29/2010,0,20100929-5432 Go to Doc InfoGo to File List,Comment of Washington Utilities and Transportation Commission under RM10-23.
Filed By,Public Interest Organizations,09/29/2010,0,20100929-5433 Go to Doc InfoGo to File List,Comment of Public Interest Organizations under RM10-23-000.
