Category,Organization,Filed,Sub-Docket,Accession,Description
Filed By,UNITED STATES SENATOR,08/16/2022,0,20220816-4000 Go to Doc InfoGo to File List,"Comments of United States Senator John Hickenlooper et al, re the proposed reforms to how to approach critical electric transmission system infrastructure under RM22-14 et al."
Issued By,CHAIR AND IMMEDIATE STAFF (FERC),08/16/2022,0,20220816-4001 Go to Doc InfoGo to File List,"Chairman Richard Glick's response to United States Senator John Hickenlooper's et al June 24, 2022 letter re the concerns related to the generator interconnection process, etc. under RM22-14 et al."
Filed By,WIRES,08/17/2022,0,20220817-5292 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of WIRES under RM22-14.
Filed By,Connecticut Public Utilities Regulatory Authority,08/24/2022,0,20220824-5055 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Connecticut Public Utilities Regulatory Authority under RM22-14.
Filed By,Michigan Public Service Commission,08/31/2022,0,20220831-5085 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Michigan Public Service Commission under RM22-14.
Filed By,Northwest & Intermountain Power Producers Coalition,09/14/2022,0,20220914-5113 Go to Doc InfoGo to File List,Comments of Northwest & Intermountain Power Producers Coalition under RM22-14.
Filed By,New York State Energy Research & Dev. Authority,09/23/2022,0,20220923-5009 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of New York State Energy Research & Dev. Authority under RM22-14.
Filed By,North Dakota Public Service Commission,10/03/2022,0,20221003-5057 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of North Dakota Public Service Commission under RM22-14.
Filed By,Fervo Energy Company,10/03/2022,0,20221003-5017 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Fervo Energy Company under RM22-14.
Filed By,Individual No Affiliation,10/04/2022,0,20221004-5118 Go to Doc InfoGo to File List,Comments of Sue Hilton under RM22-14.
Filed By,Evergreen Action,10/05/2022,0,20221005-5008 Go to Doc InfoGo to File List,Comment of Evergreen Action under RM22-14.
Filed By,Pacific Gas and Electric Company,10/11/2022,0,20221011-5261 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Pacific Gas and Electric Company under RM22-14.
Filed By,"rPlus Hydro, LLLP",10/11/2022,0,20221011-5368 Go to Doc InfoGo to File List,"Comments of rPlus Hydro, LLLP of Interest for Notice of Proposed Rulemaking under RM22-14."
Filed By,North Carolina Utilities Commission,10/11/2022,0,20221011-5056 Go to Doc InfoGo to File List,(doc-less) Notice of Intervention of North Carolina Utilities Commission under Rule 214(a)(2) under RM22-14.
Filed By,"Tri-State Generation and Transmission Association, Inc.",10/12/2022,0,20221012-5078 Go to Doc InfoGo to File List,"Comments of Tri-State Generation and Transmission Association, Inc. under RM22-14."
Filed By,LADWP,10/12/2022,0,20221012-5067 Go to Doc InfoGo to File List,Comments of Los Angeles Department of Water and Power under RM22-014.
Filed By,"William Tong, Attorney General for the State of Connecticut",10/12/2022,0,20221012-5031 Go to Doc InfoGo to File List,"(doc-less) Motion to Intervene of William Tong, Attorney General for the State of Connecticut under RM22-14."
Filed By,California Energy Storage Alliance,10/12/2022,0,20221012-5089 Go to Doc InfoGo to File List,Comments of California Energy Storage Alliance under RM22-14.
Filed By,Pattern Energy Group LP,10/12/2022,0,20221012-5148 Go to Doc InfoGo to File List,Initial Comments of Pattern Energy Group LP under RM22-14.
Filed By,"Pine Gate Renewables, LLC",10/13/2022,0,20221013-5099 Go to Doc InfoGo to File List,"Comments of Pine Gate Renewables, LLC under RM22-14."
Filed By,Consumers Energy Company,10/13/2022,0,20221013-5105 Go to Doc InfoGo to File List,Initial Comments of Consumers Energy Company under RM22-14.
Filed By,Clean Grid Alliance,10/13/2022,0,20221013-5001 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Clean Grid Alliance under RM22-14.
Filed By,Colorado Public Utilities Commission,10/13/2022,0,20221013-5004 Go to Doc InfoGo to File List,Initial Comments of Colorado Public Utilities Commission under RM22-14.
Filed By,Pennsylvania Public Utility Commission,10/13/2022,0,20221013-5030 Go to Doc InfoGo to File List,Comments of the Pennsylvania Public Utility Commission under RM22-14.
Filed By,Colorado Public Utilities Commission,10/13/2022,0,20221013-5002 Go to Doc InfoGo to File List,Letter from Group of Western Regulators in General Support of Concerns Raised by Comments of Colorado PUC under RM22-14.
Filed By,"NV Energy, Inc.",10/13/2022,0,20221013-5003 Go to Doc InfoGo to File List,"Initial Comments of NV Energy, Inc. under RM22-14."
Filed By,Western Area Power Administration,10/13/2022,0,20221013-5005 Go to Doc InfoGo to File List,Comments of Western Area Power Administration re Improvements to Generator Interconnection Procedure and Agreements under RM22-14.
Filed By,MINNESOTA PUBLIC UTILITIES COMMISSION,10/13/2022,0,20221013-5085 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Minnesota Public Utilities Commission under RM22-14.
Filed By,"Southern Company Services, Inc.",10/13/2022,0,20221013-5088 Go to Doc InfoGo to File List,Initial Comments of Southern Companies under RM22-14.
Filed By,"Longroad Energy Holdings, LLC",10/13/2022,0,20221013-5127 Go to Doc InfoGo to File List,"Initial Comments of Longroad Energy Holdings, LLC under RM22-14."
Filed By,U.S. Department of Energy,10/13/2022,0,20221013-5039 Go to Doc InfoGo to File List,Comments of the United States Department of Energy to Notice of Proposed Rulemaking under RM22-14.
Filed By,R Street Institute,10/13/2022,0,20221013-5052 Go to Doc InfoGo to File List,Initial Comments of the R Street Institute under RM22-14.
Filed By,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",10/13/2022,0,20221013-5054 Go to Doc InfoGo to File List,"Comments of Hannon Armstrong Sustainable Infrastructure Capital, Inc. under RM22-14."
Filed By,"Organization of PJM States, Inc.",10/13/2022,0,20221013-5058 Go to Doc InfoGo to File List,"Initial Comments of The Organization of PJM States, Inc. under RM22-14."
Filed By,"Puget Sound Energy, Inc.",10/13/2022,0,20221013-5154 Go to Doc InfoGo to File List,"Comments of Puget Sound Energy, Inc. under RM22-14."
Filed By,"Competitive Power Ventures, Inc.",10/13/2022,0,20221013-5155 Go to Doc InfoGo to File List,"(doc-less) Motion to Intervene of Competitive Power Ventures, Inc. under RM22-14."
Filed By,ELCON,10/13/2022,0,20221013-5164 Go to Doc InfoGo to File List,Comments of the Electricity Consumers Resource Council under RM22-14.
Filed By,"Shell Energy North America (U.S.), L.P. Shell New Energies LLC Savion, LLC ,",10/13/2022,0,20221013-5095 Go to Doc InfoGo to File List,"Comments of Shell Energy North America (U.S.), L.P., Shell New Energies, LLC and Savion, LLC et. al. under RM22-14."
Filed By,American Electric Power Service Corporation,10/13/2022,0,20221013-5102 Go to Doc InfoGo to File List,Initial Comments of American Electric Power Service Corporation under RM22-14.
Filed By,Interwest Energy Alliance,10/13/2022,0,20221013-5107 Go to Doc InfoGo to File List,Comments of Interwest Energy Alliance under RM22-14.
Filed By,Omaha Public Power District,10/13/2022,0,20221013-5120 Go to Doc InfoGo to File List,Comments of the Omaha Public Power District under RM22-14.
Filed By,PPL Services Corporation,10/13/2022,0,20221013-5121 Go to Doc InfoGo to File List,Initial Comments of The PPL Companies under RM22-14.
Filed By,Ameren Services Company,10/13/2022,0,20221013-5125 Go to Doc InfoGo to File List,Initial Comments of Ameren Services Company under RM22-14.
Filed By,Edison Electric Institute,10/13/2022,0,20221013-5128 Go to Doc InfoGo to File List,Initial Comments of Edison Electric Institute under RM22-14.
Filed By,"Rye Development, LLC rPlus Hydro, LLLP Nelson Energy LLC , Advanced Hydro Solutions LLC , Hydro Green Energy, LLC , Natel Energy, Inc. , Sorenson Engineering, Inc. , Cat Creek Energy, LLC. , National Hydropower Association ,",10/13/2022,0,20221013-5215 Go to Doc InfoGo to File List,"Comments of Rye Development, LLC, et. al. under RM22-14."
Filed By,Amazon Energy LLC,10/13/2022,0,20221013-5216 Go to Doc InfoGo to File List,Initial Comments of Amazon Energy LLC under RM22-14.
Filed By,"Anbaric Development Partners, LLC",10/13/2022,0,20221013-5217 Go to Doc InfoGo to File List,"Comments of Anbaric Development Partners, LLC under RM22-14."
Filed By,Environmental Defense Fund,10/13/2022,0,20221013-5218 Go to Doc InfoGo to File List,Initial Comments of the Environmental Defense Fund under RM22-14.
Filed By,DTE Electric Company,10/13/2022,0,20221013-5118 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of DTE Electric Company under RM22-14.
Filed By,"North American Electric Reliability Corporation Midwest Reliability Organization, Inc. Northeast Power Coordinating Council, Inc. , ReliabilityFirst Corporation , SERC Reliability Corporation , Texas Reliability Entity, Inc. , Western Electricity Coordinating Council ,",10/13/2022,0,20221013-5144 Go to Doc InfoGo to File List,Comments of the North American Electric Reliability Corporation et al. under RM22-14.
Filed By,Orsted North America Inc.,10/13/2022,0,20221013-5145 Go to Doc InfoGo to File List,Initial Comments of Orsted North America Inc. under RM22-14.
Filed By,Eversource Energy Service Company,10/13/2022,0,20221013-5146 Go to Doc InfoGo to File List,Comments of Eversource Energy Service Company under RM22-14.
Filed By,"RWE Renewables Americas, LLC",10/13/2022,0,20221013-5148 Go to Doc InfoGo to File List,"Comments of RWE Renewables Americas, LLC under RM22-14."
Filed By,"Associated Electric Cooperative, Inc.",10/13/2022,0,20221013-5150 Go to Doc InfoGo to File List,"Comments of Associated Electric Cooperative, Inc. under RM22-14."
Filed By,"AES Clean Energy Development, LLC",10/13/2022,0,20221013-5152 Go to Doc InfoGo to File List,"Comments of AES Clean Energy Development, LLC under RM22-14."
Filed By,New England Power Pool Participants Committee,10/13/2022,0,20221013-5159 Go to Doc InfoGo to File List,Initial Comments of the New England Power Pool Participants Committee under RM22-14.
Filed By,San Diego Gas & Electric Company,10/13/2022,0,20221013-5124 Go to Doc InfoGo to File List,Comments of San Diego Gas and Electric Company under RM22-14.
Filed By,WIRES,10/13/2022,0,20221013-5061 Go to Doc InfoGo to File List,Comments of WIRES under RM22-14.
Filed By,Alliance for Clean Energy New York,10/13/2022,0,20221013-5069 Go to Doc InfoGo to File List,Comments on Notice of Proposed Rulemaking Regarding Improvements to Generator Interconnection Procedures and Agreements under RM22-14.
Filed By,National Grid Plc,10/13/2022,0,20221013-5070 Go to Doc InfoGo to File List,Initial Comments of National Grid Plc under RM22-14.
Filed By,Clean Energy Buyers Association,10/13/2022,0,20221013-5073 Go to Doc InfoGo to File List,Initial Comments of The Clean Energy Buyers Association under RM22-14.
Filed By,"NextEra Energy, Inc.",10/13/2022,0,20221013-5081 Go to Doc InfoGo to File List,"Comments of NextEra Energy, Inc. under RM22-14."
Filed By,"New York Transmission Owners Central Hudson Gas & Electric Corporation New York Power Authority , New York State Electric & Gas Corporation , Rochester Gas & Electric Corporation , Niagara Mohawk d/b/a/ National Grid , Consolidated Edison Company of New York, Inc. , Orange and Rockland Utilities, Inc. , Long Island Power Authority ,",10/13/2022,0,20221013-5129 Go to Doc InfoGo to File List,Initial Comments of New York Transmission Owners under RM22-14.
Filed By,Vistra Corp.,10/13/2022,0,20221013-5221 Go to Doc InfoGo to File List,Comments of Vistra Corp. under RM22-14.
Filed By,"Dominion Energy Services, Inc.",10/13/2022,0,20221013-5214 Go to Doc InfoGo to File List,"Initial Comments of Dominion Energy Services, Inc. under RM22-14."
Filed By,VEIR Inc.,10/13/2022,0,20221013-5024 Go to Doc InfoGo to File List,Comments of VEIR Inc. under RM22-14.
Filed By,Navajo Tribal Utility Authority,10/13/2022,0,20221013-5243 Go to Doc InfoGo to File List,Comments of the Navajo Tribal Utility Authority under RM22-14.
Filed By,UTAH MUNICIPAL POWER AGENCY,10/13/2022,0,20221013-5244 Go to Doc InfoGo to File List,Comments of the Utah Municipal Power Agency under RM22-14.
Filed By,"Uda Law Firm, PC",10/13/2022,0,20221013-5245 Go to Doc InfoGo to File List,"Comments of Uda Law Firm, P.C. under RM22-14."
Filed By,MISO Transmission Owners,10/13/2022,0,20221013-5246 Go to Doc InfoGo to File List,Comments of the MISO Transmission Owners under RM22-14.
Filed By,American Council on Renewable Energy,10/13/2022,0,20221013-5181 Go to Doc InfoGo to File List,Comments of American Council on Renewable Energy under RM22-14.
Filed By,Ohio Federal Energy Advocate,10/13/2022,0,20221013-5182 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Ohio Federal Energy Advocate under RM22-14.
Filed By,"Duke Energy Carolinas, LLC, Duke Energy Progress, LLC, and D",10/13/2022,0,20221013-5183 Go to Doc InfoGo to File List,Comments of the Duke Southeast Utilities under RM22-14.
Filed By,"Hecate Energy LLC Acciona Energy USA Global LLC Tri Global Energy, LLC , Leeward Renewable Energy Development, LLC , Copenhagen Infrastructure IV K/S ,",10/13/2022,0,20221013-5184 Go to Doc InfoGo to File List,Joint Comments of the Affected Interconnection Customers under RM22-14.
Filed By,Google LLC,10/13/2022,0,20221013-5185 Go to Doc InfoGo to File List,Initial Comments of Google LLC under RM22-14.
Filed By,Xcel Energy Services Inc.,10/13/2022,0,20221013-5186 Go to Doc InfoGo to File List,Initial Comments of Xcel Energy Services Inc. under RM22-14.
Filed By,Fervo Energy Company,10/13/2022,0,20221013-5248 Go to Doc InfoGo to File List,Initial Comments of Fervo Energy Company under RM22-14.
Filed By,Roy J Shanker Ph.D.,10/13/2022,0,20221013-5249 Go to Doc InfoGo to File List,Comments of Roy J. Shanker Ph.D. under RM22-14.
Filed By,Apple Inc.,10/13/2022,0,20221013-5250 Go to Doc InfoGo to File List,Comments of Apple Inc. under RM22-14.
Filed By,Sierra Club,10/13/2022,0,20221013-5251 Go to Doc InfoGo to File List,Comments of Public Interest Organizations under RM22-14.
Filed By,"New York Independent System Operator, Inc.",10/13/2022,0,20221013-5193 Go to Doc InfoGo to File List,"Comments of New York Independent System Operator, Inc. under RM22-14."
Filed By,Electric Power Supply Association,10/13/2022,0,20221013-5189 Go to Doc InfoGo to File List,Comments of the Electric Power Supply Association under RM22-14.
Filed By,Americans for a Clean Energy Grid,10/13/2022,0,20221013-5190 Go to Doc InfoGo to File List,Comments of Americans for a Clean Energy Grid under RM22-14.
Filed By,National Association of Regulatory Utility Commissioners,10/13/2022,0,20221013-5192 Go to Doc InfoGo to File List,Motion to Intervene and Comments of National Association of Regulatory Utility Commissioners under RM22-14.
Filed By,Idaho Power Company,10/13/2022,0,20221013-5194 Go to Doc InfoGo to File List,Comments of Idaho Power Company under RM22-14.
Filed By,"Invenergy Solar Development North America LLC Invenergy Thermal Development LLC Invenergy Wind Development North America LLC , Invenergy Transmission LLC ,",10/13/2022,0,20221013-5198 Go to Doc InfoGo to File List,"Comments of Invenergy Solar Development North America LLC, et. al. under RM22-14."
Filed By,WATT Coalition,10/13/2022,0,20221013-5206 Go to Doc InfoGo to File List,Comments of WATT Coalition under RM22-14.
Filed By,"Enel North America, Inc.",10/13/2022,0,20221013-5210 Go to Doc InfoGo to File List,"Comments of Enel North America, Inc. under RM22-14."
Filed By,"Portland General Electric Company Avista Corporation Idaho Power Company , Puget Sound Energy , Inc. ,",10/13/2022,0,20221013-5211 Go to Doc InfoGo to File List,Joint Comments of Avista Corporation et al. under RM22-14.
Filed By,"PJM Interconnection, L.L.C.",10/13/2022,0,20221013-5170 Go to Doc InfoGo to File List,"Initial Comments of PJM Interconnection, L.L.C. under RM22-14."
Filed By,CHAMBER OF COMMERCE OF THE UNITED STATES,10/13/2022,0,20221013-5172 Go to Doc InfoGo to File List,Comments of the United Sate Chamber of Commerce under RM22-14.
Filed By,CTC Global Corporation,10/13/2022,0,20221013-5191 Go to Doc InfoGo to File List,Comments of CTC Global Corporation under RM22-14.
Filed By,ISO New England Inc.,10/13/2022,0,20221013-5175 Go to Doc InfoGo to File List,Initial Comments of Iso New England Inc. under RM22-14.
Filed By,National Rural Electric Cooperative Association,10/13/2022,0,20221013-5178 Go to Doc InfoGo to File List,Comments of the National Rural Electric Cooperative Association under RM22-14.
Filed By,Ohio Federal Energy Advocate,10/13/2022,0,20221013-5179 Go to Doc InfoGo to File List,Comments of The Public Utilities Commission of Ohio’s Office of The Federal Energy Advocate under RM22-14.
Filed By,California Independent System Operator Corporation,10/13/2022,0,20221013-5195 Go to Doc InfoGo to File List,Comments of the California Independent System Operator Corporation under RM22-14.
Filed By,Advanced Energy Economy,10/13/2022,0,20221013-5196 Go to Doc InfoGo to File List,Comments of Advanced Energy Economy under RM22-14.
Filed By,"Organization of MISO States, Inc.",10/13/2022,0,20221013-5197 Go to Doc InfoGo to File List,"Initial Comments of the Organization of MISO States, Inc. under RM22-14."
Filed By,Microgrid Resources Coalition,10/13/2022,0,20221013-5199 Go to Doc InfoGo to File List,Comments of Microgrid Resources Coalition under RM22-14.
Filed By,ClearPath Foundation,10/13/2022,0,20221013-5202 Go to Doc InfoGo to File List,"Comments of ClearPath, Inc. under RM22-14."
Filed By,"American Clean Power Association RENEW Northeast, Inc.",10/13/2022,0,20221013-5204 Go to Doc InfoGo to File List,Comments of American Clean Power Association et al. under RM22-14.
Filed By,"Dominion Energy South Carolina, Inc Duke Energy Corporation Xcel Energy Services Inc. , PacifiCorp , Tri-State Generation and Transmission Association, Inc. ,",10/13/2022,0,20221013-5207 Go to Doc InfoGo to File List,Joint Comments of the Early Adopters' Coalition under RM22-14.
Filed By,Arizona Public Service Company,10/13/2022,0,20221013-5208 Go to Doc InfoGo to File List,Comments of Arizona Public Service Company under RM22-14.
Filed By,PacifiCorp,10/13/2022,0,20221013-5212 Go to Doc InfoGo to File List,Comments of PacifiCorp under RM22-14.
Filed By,Solar Energy Industries Association,10/13/2022,0,20221013-5077 Go to Doc InfoGo to File List,Comments of Solar Energy Industries Association under RM22-14.
Filed By,"Tesla, Inc.",10/13/2022,0,20221013-5130 Go to Doc InfoGo to File List,"Comments of Tesla, Inc. under RM22-14."
Filed By,Transmission Access Policy Study Group,10/13/2022,0,20221013-5142 Go to Doc InfoGo to File List,Comments of the Transmission Access Policy Study Group under RM22-14.
Filed By,Indicated PJM Transmission Owners,10/13/2022,0,20221013-5149 Go to Doc InfoGo to File List,Comments of Indicated PJM Transmission Owners under RM22-14.
Filed By,"Alliant Energy Corporate Services, Inc.",10/13/2022,0,20221013-5151 Go to Doc InfoGo to File List,"Comments of Alliant Energy Corporate Services, Inc. under RM22-14."
Filed By,Illinois Commerce Commission,10/13/2022,0,20221013-5153 Go to Doc InfoGo to File List,Comments of the Illinois Commerce Commission under RM22-14.
Filed By,"Southwest Power Pool, Inc.",10/13/2022,0,20221013-5156 Go to Doc InfoGo to File List,"Comments of Southwest Power Pool, Inc. under RM22-14."
Filed By,Southern California Edison Company,10/13/2022,0,20221013-5160 Go to Doc InfoGo to File List,Comments of Southern California Edison Company on Notice of Proposed Rulemaking under RM22-14.
Filed By,VELCO,10/13/2022,0,20221013-5161 Go to Doc InfoGo to File List,"Initial Comments of Vermont Electric Power Company, Inc. and Vermont Transco LLC under RM22-14."
Filed By,"Avangrid, Inc.",10/13/2022,0,20221013-5162 Go to Doc InfoGo to File List,"Comments of Avangrid, Inc. under RM22-14."
Filed By,Interwest Energy Alliance,10/13/2022,0,20221013-5137 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Interwest Energy Alliance under RM22-14.
Filed By,ISO/RTO Council (IRC),10/13/2022,0,20221013-5140 Go to Doc InfoGo to File List,Initial Comments of the ISO/RTO Council under RM22-14.
Filed By,New England States Committee on Electricity,10/13/2022,0,20221013-5067 Go to Doc InfoGo to File List,Initial Comments of the New England States Committee on Electricity under RM22-14.
Filed By,Microgrid Resources Coalition,10/13/2022,0,20221013-5219 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Microgrid Resources Coalition under RM22-14.
Filed By,"EDF Renewables, Inc.",10/13/2022,0,20221013-5220 Go to Doc InfoGo to File List,"Comments of EDF Renewables, Inc. under RM22-14."
Filed By,Iowa Utilities Board,10/13/2022,0,20221013-5222 Go to Doc InfoGo to File List,Comments of Iowa Utilities Board under RM22-14.
Filed By,Guzman Energy LLC,10/13/2022,0,20221013-5223 Go to Doc InfoGo to File List,Comments of Guzman Energy LLC under RM22-14.
Filed By,American Public Power Association Large Public Power Council,10/13/2022,0,20221013-5224 Go to Doc InfoGo to File List,Comments of the American Public Power Association et al. under RM22-14.
Filed By,"Interstate Renewable Energy Council, Inc.",10/13/2022,0,20221013-5225 Go to Doc InfoGo to File List,"Comments of Interstate Renewable Energy Council, Inc. under RM22-14."
Filed By,ENGIE North America Inc.,10/13/2022,0,20221013-5226 Go to Doc InfoGo to File List,Comments of ENGIE North America Inc. under RM22-14.
Filed By,Arizona Corporation Commission,10/13/2022,0,20221013-5227 Go to Doc InfoGo to File List,Comments of Arizona Corporation Commission under RM22-14.
Filed By,New York State Public Service Commission New York State Energy Research and Development Authority,10/13/2022,0,20221013-5228 Go to Doc InfoGo to File List,Comments of the New York State Public Service Commission and New York State Energy Research and Development Authority under RM22-14.
Filed By,Community Renewable Energy Association NewSun Energy,10/13/2022,0,20221013-5230 Go to Doc InfoGo to File List,Comments and Protest of Community Renewable Energy Association and NewSun Energy LLC under RM22-14.
Filed By,"Cypress Creek Renewables, LLC",10/13/2022,0,20221013-5231 Go to Doc InfoGo to File List,"Comments of Cypress Creek Renewables, LLC under RM22-14."
Filed By,Golden State Clean Energy,10/13/2022,0,20221013-5232 Go to Doc InfoGo to File List,Comments of Golden State Clean Energy under RM22-14.
Filed By,PJM Cities and Communities Coalition,10/13/2022,0,20221013-5233 Go to Doc InfoGo to File List,Comments of PJM Cities and Communities Coalition under RM22-14.
Filed By,"Midcontinent Independent System Operator, Inc.",10/13/2022,0,20221013-5234 Go to Doc InfoGo to File List,"Comments of Midcontinent Independent System Operator, Inc. under RM22-14."
Filed By,Electric Power Research Institute (EPRI),10/13/2022,0,20221013-5235 Go to Doc InfoGo to File List,Comments of Electric Power Research Institute (EPRI) under RM22-14.
Filed By,North Dakota Public Service Commission,10/13/2022,0,20221013-5238 Go to Doc InfoGo to File List,Comments of North Dakota Public Service Commission under RM22-14.
Filed By,North Carolina Utilities Commission North Carolina Utilities Commission Public Staff,10/13/2022,0,20221013-5239 Go to Doc InfoGo to File List,Joint Comments of the North Carolina Utilities Commission et al. under RM22-14.
Filed By,New Jersey Board of Public Utilities,10/13/2022,0,20221013-5240 Go to Doc InfoGo to File List,Comments of New Jersey Board of Public Utilities under RM22-14.
Filed By,Bonneville Power Administration,10/13/2022,0,20221013-5050 Go to Doc InfoGo to File List,Comments of the Bonneville Power Administration under RM22-14.
Filed By,Pacific Gas and Electric Company,10/13/2022,0,20221013-5168 Go to Doc InfoGo to File List,Initial Comments of Pacific Gas and Electric Company on the Notice of Proposed Rulemaking under RM22-14.
Filed By,Renewable Northwest NW Energy Coalition,10/14/2022,0,20221014-5005 Go to Doc InfoGo to File List,Comments of Renewable Northwest and NW Energy Coalition under RM22-14.
Filed By,Clean Energy States Alliance,10/14/2022,0,20221014-5007 Go to Doc InfoGo to File List,Comments of Clean Energy States Alliance under RM22-14.
Filed By,Oceti Sakowin Power Authority,10/14/2022,0,20221014-5009 Go to Doc InfoGo to File List,Comments of Oceti Sakowin Power Authority under RM22-14.
Filed By,El Paso Electric Company (EPE),10/14/2022,0,20221014-5010 Go to Doc InfoGo to File List,Initial Comments of El Paso Electric Company under RM22-14.
Filed By,"Utility Intervention Unit, New York State Department of Stat",10/14/2022,0,20221014-5006 Go to Doc InfoGo to File List,Comments of the New York State Department of State Utility Intervention Unit under RM22-14.
Filed By,Connecticut Department of Energy and Environmental Protectio,10/14/2022,0,20221014-5008 Go to Doc InfoGo to File List,Comments of the State Agencies under RM22-14.
Filed By,"Energy Keepers, Incorporated",10/14/2022,0,20221014-5011 Go to Doc InfoGo to File List,"Comments of Energy Keepers, Inc. under RM22-14."
Filed By,Evergreen Action,10/14/2022,0,20221014-5012 Go to Doc InfoGo to File List,"Comments of Undersigned 4,293 people as collected by Evergreen Action under RM22-14."
Filed By,Individual No Affiliation,10/17/2022,0,20221017-5004 Go to Doc InfoGo to File List,Roy J Shanker submits Comments re Generator Interconnection Procedures and Agreements under RM22-14.
Filed By,Individual No Affiliation,10/17/2022,0,20221017-5005 Go to Doc InfoGo to File List,Comments of Bretton C Little re Draft Rule under RM22-14.
Filed By,Individual No Affiliation,10/17/2022,0,20221017-5006 Go to Doc InfoGo to File List,Comments of Allen Meyer re the Draft Rule under RM22-14.
Filed By,Individual No Affiliation,10/17/2022,0,20221017-5007 Go to Doc InfoGo to File List,Comments of Lori Ecker re Draft Rule under RM22-14.
Filed By,Edison Electric Institute,10/18/2022,0,20221018-5043 Go to Doc InfoGo to File List,Motion of Edison Electric Institute for Extension of Time to Submit Reply Comments and Request for Expedited Treatment under RM22-14.
Filed By,"Advanced Energy Economy American Clean Power Association American Council on Renewable Energy , Solar Energy Industries Association ,",10/25/2022,0,20221025-5096 Go to Doc InfoGo to File List,Comments of Clean Trades in Support of Motion for Extension of Time under RM22-14.
Issued By,"SECRETARY OF THE COMMISSION, FERC",10/28/2022,0,20221028-3086 Go to Doc InfoGo to File List,Notice on Request for Extension of Time re Improvements to Generator Interconnection Procedures and Agreements under RM22-14.
Filed By,"PJM Interconnection, L.L.C.",11/01/2022,0,20221101-5159 Go to Doc InfoGo to File List,"Partial Reply Comments of PJM Interconnection, L.L.C. under RM22-14."
Filed By,Advanced Energy Economy,11/07/2022,0,20221107-5031 Go to Doc InfoGo to File List,"Advanced Energy Economy submits Request to Update Service List under AD16-16, et. al."
